time     | svc | cur | Δ  | tgt | p99
2026-02-18T11:36:54+00:00,0.3023,0.2028,0.0078
2026-02-18T11:37:09+00:00,0.3044,0.2029,0.0081
2026-02-18T11:37:24+00:00,0.2858,0.2027,0.008
2026-02-18T11:37:39+00:00,0.295,0.2017,0.008
2026-02-18T11:37:54+00:00,0.2908,0.2025,0.0072
2026-02-18T11:38:09+00:00,0.29,0.2028,0.0079
2026-02-18T11:38:24+00:00,0.2879,0.2009,0.0078
2026-02-18T11:38:39+00:00,0.3046,0.2018,0.0078
2026-02-18T11:38:54+00:00,0.2962,0.2015,0.0076
2026-02-18T11:39:09+00:00,0.2967,0.2017,0.0076
2026-02-18T11:39:24+00:00,0.2977,0.203,0.0077
2026-02-18T11:39:39+00:00,0.2989,0.2028,0.007
2026-02-18T11:39:54+00:00,0.2977,0.2033,0.0077
2026-02-18T11:40:09+00:00,0.2966,0.2033,0.0075
2026-02-18T11:40:24+00:00,0.2896,0.2022,0.0075
2026-02-18T11:40:39+00:00,0.2831,0.2016,0.0074
2026-02-18T11:40:54+00:00,0.2883,0.201,0.0072
2026-02-18T11:41:09+00:00,0.3005,0.2009,0.007
2026-02-18T11:41:24+00:00,0.2945,0.2002,0.0071
2026-02-18T11:41:39+00:00,0.2977,0.2002,0.0071
2026-02-18T11:41:54+00:00,0.2957,0.2015,0.0072
2026-02-18T11:42:09+00:00,0.2951,0.2028,0.0066
2026-02-18T11:42:24+00:00,0.3068,0.2039,0.0075
2026-02-18T11:42:39+00:00,0.2946,0.2051,0.0079
2026-02-18T11:42:54+00:00,0.288,0.2052,0.0075
2026-02-18T11:43:09+00:00,0.2848,0.2053,0.008
2026-02-18T11:43:24+00:00,0.2885,0.2067,0.0083
2026-02-18T11:43:39+00:00,0.2831,0.2073,0.0077
2026-02-18T11:43:54+00:00,0.2644,0.2073,0.0078
2026-02-18T11:44:09+00:00,0.2937,0.2072,0.0085
2026-02-18T11:44:24+00:00,0.2728,0.1852,0.0084
2026-02-18T11:44:39+00:00,0.2893,0.2068,0.0083
2026-02-18T11:44:54+00:00,0.293,0.2079,0.0085
2026-02-18T11:45:09+00:00,0.3046,0.2077,0.0086
2026-02-18T11:45:24+00:00,0.2881,0.2089,0.0079
2026-02-18T11:45:39+00:00,0.2997,0.2066,0.0079
2026-02-18T11:45:54+00:00,0.2957,0.2056,0.0086
2026-02-18T11:46:09+00:00,0.2978,0.2066,0.0086
2026-02-18T11:46:24+00:00,0.2963,0.2061,0.0086
2026-02-18T11:46:39+00:00,0.3044,0.2038,0.0085
2026-02-18T11:46:54+00:00,0.2979,0.1847,0.0085
2026-02-18T11:47:09+00:00,0.2903,0.2026,0.0086
2026-02-18T11:47:24+00:00,0.2961,0.2031,0.0076
2026-02-18T11:47:39+00:00,0.2916,0.2049,0.0082
2026-02-18T11:47:54+00:00,0.2952,0.2071,0.0084
2026-02-18T11:48:09+00:00,0.2777,0.1976,0.0083
2026-02-18T11:48:24+00:00,0.2227,0.1429,0.0079
2026-02-18T11:48:39+00:00,0.197,0.1369,0.0076
2026-02-18T11:18:39+00:00,724.59,955.09
2026-02-18T11:18:54+00:00,634.75,905.92
2026-02-18T11:19:09+00:00,499.83,849.84
2026-02-18T11:19:24+00:00,495.08,793.73
2026-02-18T11:19:39+00:00,490.31,737.15
2026-02-18T11:19:54+00:00,482.36,676.11
2026-02-18T11:20:09+00:00,464.92,474.33
2026-02-18T11:20:24+00:00,166.58,348.91
2026-02-18T11:20:39+00:00,38.49,230.02
2026-02-18T11:20:54+00:00,15.73,233.33
2026-02-18T11:21:09+00:00,14.67,230.22
2026-02-18T11:21:24+00:00,13.62,225.4
2026-02-18T11:21:39+00:00,13.82,228.12
2026-02-18T11:21:54+00:00,13.48,225.2
2026-02-18T11:22:09+00:00,9.98,223.44
2026-02-18T11:22:24+00:00,9.76,165.34
2026-02-18T11:22:39+00:00,9.26,94.2
2026-02-18T11:22:54+00:00,8.54,93.23
2026-02-18T11:23:09+00:00,8.82,93.83
2026-02-18T11:23:24+00:00,8.32,72.51
2026-02-18T11:23:39+00:00,7.69,79.16
2026-02-18T11:23:54+00:00,8.38,84.82
2026-02-18T11:24:09+00:00,8.9,94.81
2026-02-18T11:24:24+00:00,9.37,109.73
2026-02-18T11:24:39+00:00,9.18,96.71
2026-02-18T11:24:54+00:00,8.95,97.43
2026-02-18T11:25:09+00:00,9.09,97.46
2026-02-18T11:25:24+00:00,9.52,132.97
2026-02-18T11:25:39+00:00,9.66,126.03
2026-02-18T11:25:54+00:00,9.9,193.87
2026-02-18T11:26:09+00:00,12.77,207.23
